Jurisdiction,Policy Type,Policy Name,Status (Current/Historical),Description,Target Group,Incentive Type,"Incentive Amount 
(if applicable)",Eligibility Criteria,Implementation Date,"End Date 
(if applicable)",Administering Body,Key Outcomes/ Impact (if available),Notes/Additional Information,Contact information,Citation
"Local, Commonwealth, International, State/Territory",LGA Schemes - Mapping,Overview of LGA schemes,,,,,,,,,,,,,
"Commonwealth, State/Territory",Financial Incentives,Household Energy Upgrades Fund (applies to all states and territories) ,Current,"This is a financial initiative established by the Australian Government, aimed at making energy-efficient home upgrades more accessible through discounted loans. Under the $1 billion Fund, the Clean Energy Finance Corporation who works with lenders to provide affordable, low-interest loans for energy-efficient improvements in homes, including solar panels, battery storage, insulation and energy-efficient appliances. The Fund will also provide $300 million to partner with states and territories to make energy performance upgrades to social housing.",All Australians who meet the eligibility criteria and seek loans from participating banks and finance institutions,Loan,"Depends on the loan/upgrade - the total fund is $1 billion and described to help over 110,000 households","- The Household Energy Upgrades Fund is open to households with or without a mortgage, rental property owners, and strata properties.
- Upgrades are available for existing homes or knock-down/rebuild.
- High value properties are excluded (speak to your lender for further details).
- Products, installations and technologies must meet eligibility and evidence requirements.
- Participating lender will have further eligibility criteria depending on the financial product.",5 June 2024 (but introduced as part of the 2023 Federal Budget),N/A  ,"- Australian Government
- Clean Energy Finance Corporation
- Westpac Banking Corporation 
- Plenti","The Household Energy Upgrades Fund aims to reduce household energy bills and improve home efficiency by offering low-interest loans for energy efficiency upgrades - improving a home's energy efficiency rating from 1 star to 3 stars can reduce energy bills by 30%, and upgrading from 3 stars to 5 stars can reduce bills by another 20%. By making homes more energy-efficient, the fund helps Australia progress towards its net-zero target by 2050 and supports a greener housing stock for future generations. 
",,"For queries regarding Household Energy Upgrades Fund loans, contact lender. 

If unsatisfied with their response, contact the Australian Financial Complaints Authority (AFCA) to register a formal complaint.","https://www.energy.gov.au/rebates/household-energy-upgrades-fund

https://www.cefc.com.au/where-we-invest/special-investment-programs/household-energy-upgrades-fund/ "
"Commonwealth, State/Territory",Financial Incentives,Small-scale Renewable Energy Scheme (applies to all states and territories) ,Current,"Households and small businesses that install a small-scale renewable energy system (solar, wind or hydro), or hot water system, may be able to receive a benefit towards the purchase cost.

Installing an eligible system allows the creation of small-scale technology certificates (STCs) with a value that can be redeemed by selling or assigning them.","Households, small businesses, and community organisations that install small-scale renewable energy systems (solar, wind, hydro) or eligible solar water heaters",Creation and sale of Small-scale Technology Certificates,"The value varies depending on system size, location, and the current market value of STCs.","To be eligible for the Small-scale Renewable Energy Scheme (SRES) in Australia, your system must meet the following criteria:

System Type: Eligible systems include solar photovoltaic (PV), wind turbines, hydro systems, solar water heaters, and air source heat pumps. 

Capacity Limits:
Solar PV Systems: Up to 100 kW capacity with an annual electricity output of less than 250 MWh.
Wind Turbines: Up to 10 kW capacity with an annual output of up to 25 MWh.
Hydro Systems: Up to 6.4 kW capacity with an annual output of up to 25 MWh.
Solar Water Heaters: Generally up to 700 litres capacity; systems over this may require additional documentation.
Air Source Heat Pumps: Up to 425 litres capacity. 

Installation Requirements:
Systems must be installed by Clean Energy Council (CEC) accredited designers and installers.
All components should be listed on the CEC's approved products list.
Installations must comply with relevant Australian and New Zealand standards and local regulations. 

Certificate Creation: Small-scale Technology Certificates (STCs) must be created within 12 months of the system's installation date. 
",2011,"The scheme is scheduled to phase out gradually and conclude by 2030, in line with Australia’s Renewable Energy Target (RET) obligations.",Clean Energy Regulator ,"Significant increase in the adoption of renewable energy across Australia.

Reduction in greenhouse gas emissions by encouraging clean energy generation.

Lowered energy costs for households and small businesses by reducing dependency on grid electricity.",,"Clean Energy Regulator
Website: https://cer.gov.au/schemes/renewable-energy-target/small-scale-renewable-energy-scheme
Phone: 1300 553 542",https://cer.gov.au/schemes/renewable-energy-target/small-scale-renewable-energy-scheme
"Commonwealth, State/Territory",Energy Audits and Ratings,Residential Efficiency Scorecard Program (applies to all states and territories) ,Current,"The Residential Efficiency Scorecard provides an energy star rating (from 1 to 10) for homes, assessing energy use, comfort, and recommending improvements. Accredited assessors deliver ratings and advice to help homeowners reduce energy bills, transition to all-electric homes, and improve home comfort. Currently, the program is endorsed by NatHERS and is expected to be fully integrated into it in the future.",Homeowners and renters across Australia seeking to improve home energy efficiency and reduce energy costs.,Educational,N/A,"Available to all residential homes, including existing homes and new builds. An assessment is performed by an accredited assessor to receive a rating.",Has been available since 2015 (initially launched in Victoria and expanded for national application).,"Ongoing, with plans to integrate fully into NatHERS in the future.",Administered by the Victorian Government but applies to all Australian states and territories ,"Provides insights for homeowners and renters to reduce energy consumption and costs.

Supports Australia's move towards energy-efficient, low-carbon homes.

Encourages the adoption of sustainable home improvements.
",,"General enquiries: 136 186
Email: scorecard@deeca.vic.gov.au",https://www.homescorecard.gov.au
"Commonwealth, State/Territory",Energy Audits and Ratings,Nationwide House Energy Rating Scheme (NatHERS) (applies to all states and territories) ,Current,"NatHERS provides energy efficiency ratings for new homes in Australia, now assessing entire home performance, including the building shell, major appliances, and renewable energy systems like solar panels. This expanded rating system supports the National Construction Code 2022, aiming to reduce emissions and save on energy costs - increase in energy efficiency requirements for new home builds from 6 to 7 stars under the Nationwide House Energy Rating Scheme (NatHERS).",New home owners/builders ,Legislative mandate,N/A,A requirement for builders of new apartments and homes ,Widely coming to effect from 1 October 2024,N/A,"- Department of Climate Change, Energy, the Environment and Water",- improve the energy performance and sustainability of new homes and apartments,,"admin@nathers.gov.au

Street Address:
NatHERS Administrator
Department of Climate Change, Energy, the Environment and Water
GPO Box 3090 
CANBERRA ACT 2601

DCCEEW General Enquiries: 1800 920 528.",https://www.minister.industry.gov.au/ministers/husic/media-releases/making-australias-new-homes-more-liveable
Commonwealth,Solar and Battery Systems,Community Solar Banks Program,Current,"$101 million to make sure low-income households and apartment residents can reap the saving of renewables by helping to fund rooftop solar installations on apartments, or accessing a portion of a ‘solar garden’ community energy plot. The ‘Solar Banks’ initiative will deliver rebates of up to 50 per cent of rooftop solar installation costs for multi-unit dwellings. Low-income households, apartment residents and renters who can’t install or afford onsite rooftop solar will be eligible for a subsidy to purchase an offsite ‘solar garden’ portion of a large scale solar farm under the deal.",Apartment Residents & Low-Income Households ,Rebate,Dependent on each state project,Dependent on each state project ,29 September 2023,30 June 2026,"- Australian Federal and State Governments 
- Department of Climate Change, Energy, the Environment and Water","- aims to increase access to renewable energy savings for low-income households and apartment residents
- this funding will be used to help these groups overcome barriers to solar access, such as the inability to install rooftop solar due to rental agreements or high upfront costs",- This is a Commonwealth initiative that is implemented by each state gov too - see second link,"Dependent on each state project 


DCCEEW General Enquiries: 1800 920 528.","https://www.pm.gov.au/media/over-200m-cost-living-energy-upgrades-over-30000-nsw-households 

https://federalfinancialrelations.gov.au/agreements/community-solar-banks-program "
Commonwealth,Financial Incentives,COVID-era HomeBuilder,Historical,"Not specifically an energy efficiency program, the HomeBuilder grant provides financial assistance to eligible homeowners to build a new home or substantially renovate an existing one. This provided an opportunity to incorporate energy-efficient features during the renovation process.",exiting and new owner-occupiers,Financial Grant ,"$25,000 grant","To access HomeBuilder, owner-occupiers must meet the following eligibility criteria:

you are an individual, not a company or trust;
you are aged 18 years or older;
you are an Australian citizen;
you meet one of the following two income caps:
$125,000 per annum for an individual applicant based on 2018/19 tax return or later; or 
$200,000 per annum for a couple based on your combined on 2018/19 tax return or later;
you enter into a building contract between 4 June 2020 to 31 December 2020 to either:
build a new home as a principal place of residence valued up to $750,000 (including land); or
substantially renovate your existing home as a principal place of residence, with renovations valued at between $150,000 and $750,000 with the dwelling not valued at more than $1.5 million before the renovation;",June 2020,Construction contract to be entered into between 4 June 2020 and 31 December 2020.,- Australian Federal Government ,"- indirectly encouraged energy efficiency by providing financial support for renovations, enabling homeowners to incorporate energy-saving features and reduce long-term costs.",,N/A ,"https://treasury.gov.au/sites/default/files/2020-06/Fact_sheet_HomeBuilder_0.pdf

"
State/Territory,Solar and Battery Systems,"Electricity Feed-in Tariff (ACT, NSW, QLD, TAS)
",Current,"Feed-in tariffs (FiTs) compensate households and businesses for excess electricity generated by renewable energy systems, such as solar panels, that is exported back to the grid. The structure and rates of FiTs vary across states and territories.

ACT: Gross Feed-in Tariff
NSW: Both Net and Gross Feed-in Tariffs
QLD: Net Feed-in Tariff
TAS: Net Feed-in Tariff
FiT rates are determined by individual energy retailers and can vary, and consumers are encouraged to compare offers across retailers. 
","Households and small businesses with eligible renewable energy systems, such as solar PV or wind systems, that generate excess electricity.",Financial incentive,Varies by retailer and jurisdiction; rates depend on the retailer's policy and the state or territory’s specific FiT structure.,"Must have a small-scale renewable energy system (e.g., solar PV or wind) installed.

System must be connected to the electricity grid.

Compliance with relevant state or territory regulations for metering and system size.

Exact eligibility depends on system and retailer.","Dates vary by state and territory, as FiT policies were introduced at different times across Australia. Ongoing as a current program in each state.","Ongoing with no specific end date, but subject to review and updates by state governments.",Each state and territory government in collaboration with participating electricity retailers.,"Encourages renewable energy adoption by providing financial incentives.

Reduces overall demand on the grid by promoting self-generation and export of clean energy.

Helps reduce carbon emissions by supporting renewable energy use.","FiT rates are updated periodically and may vary significantly between electricity retailers and jurisdictions. 

Consumers are advised to compare FiT offers across retailers.",Website for comparing FiT offers: https://www.energymadeeasy.gov.au,https://www.energymadeeasy.gov.au/article/choices-that-are-good-for-the-environment#solar-plans
State/Territory,"Financial Incentives, Energy Efficiency Legislation / Instruments",Energy Saver Scheme (NSW),Current,"Encourages the implementation of energy-efficient technologies, such as LED lighting and energy-efficient appliances by providing financial incentives to install energy efficient equipment and appliances in NSW households and businesses. Commenced in 2009 and is still operating. Upgrades include lighting, air conditioning, hot water system and replacing pool pumps. 
",NSW households and businesses,Financial incentive,"Exact subsidy for each product not clear - difficult to work out what your discount would be but would need to talk to accredited certificate provider and they work out how much “power” would be saved, and then go from there.",Dependent on each household and product,Established in 2009 under the NSW Electricity Supply Act 1995. ,N/A,NSW Government,- reduces energy consumption and costs by incentivising households and businesses to adopt energy-efficient technologies.,,"Website: https://www.energy.nsw.gov.au/contact-us

Email: hello@environment.nsw.gov.au ",https://www.energy.nsw.gov.au/nsw-plans-and-progress/regulation-and-policy/energy-security-safeguard/energy-savings-scheme/about
State/Territory,Retailer Energy Efficiency Obligations,Peak Demand Reduction Scheme (NSW),Current,"Sets a peak demand reduction target for electricity retailers and large users. To meet their target, retailers and large users create or buy peak reduction certificates (PRCs) for eligible activities that reduce energy usage during hours of peak demand. The Peak Demand Reduction Scheme Rule (PDRS Rule) details how certificates are created.  We consult with industry stakeholders regularly to ensure the rule remains relevant to current technical and market conditions. The rule is updated on an annual basis. The requirements for creating certificates are set out in the rule. Each certificate represents 0.1 kilowatt-hour (kWh) of peak demand reduction capacity. Peak demand reduction capacity must be available during summer afternoons and evenings, which is when demand for electricity is highest in NSW.
",Electricity Retailers ,"Each Peak Reduction Certificate (PRC) is valued based on the energy reduction achieved, specifically 0.1 kilowatt-hour (kWh) of peak demand reduction capacity for eligible activities. The exact financial incentive per PRC depends on market conditions and trading values.","Each Peak Reduction Certificate (PRC) is valued based on the energy reduction achieved, specifically 0.1 kilowatt-hour (kWh) of peak demand reduction capacity for eligible activities. The exact financial incentive per PRC depends on market conditions and trading values.","Electricity retailers and large energy users must participate in the scheme if they exceed specific thresholds.

Activities eligible for PRCs must reduce electricity use during peak demand periods, typically on summer afternoons and evenings when the demand for electricity is highest in NSW.",2022,2050,"NSW Government Department of Planning and Environment.
","Helps stabilise the grid during peak demand periods, reducing the risk of blackouts.

Reduces greenhouse gas emissions by decreasing the need for high-emission, peak-period electricity generation.

Lowers overall energy costs for consumers by reducing peak demand pressures.",,"Website: https://www.energy.nsw.gov.au/contact-us

Email: hello@environment.nsw.gov.au ",https://www.energy.nsw.gov.au/nsw-plans-and-progress/regulation-and-policy/energy-security-safeguard/peak-demand-reduction
