QLD - LGA Schemes,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Local Government Area - Details,,Policies,,,,,,,,,,,,,,
LGA,Council,Policy Type,Policy Name,Status (Current/Historical),Description,Target Group,Incentive Type,"Incentive Amount 
(if applicable)",Eligibility Criteria,Implementation Date,"End Date 
(if applicable)",Administering Body,Key Outcomes/ Impact (if available),Notes/Additional Information,Contact information,Citation
City of Brisbane,Brisbane City Council,Financial Incentives,Brisbane Green Buildings Incentive Policy,Current,"Under the incentive, Council will provide a financial payment of up to 50% of infrastructure charges paid for Council networks to buildings that meet criteria and eligibility requirements detailed below.",Residential buildings (apartments with minimum 3 storeys in height),Reimbursement,"Council will make a payment equivalent to 50% of paid infrastructure charges upon commencement of use and verification of successful installation of specific green and energy-efficient design elements within new development where the requirements of this policy are met,","The incentive is available for both residential buildings that have a development application approved between 1 July 2020 and 30 June 2022.

Full disclosure of eligibility criteria provided in the incentive policy document.",1 July 2022,"31 December 2024

(request for incentive payment must be received by this date)",Brisbane City Council,N/A,N/A,3403 8888,https://www.brisbane.qld.gov.au/planning-and-building/urban-design-in-brisbane/design-strategy-and-guidelines/brisbane-green-buildings-incentive-policy
City of Gold Coast,Gold Coast City Council,,None,,,,,,,,,,,,,
City of Ipswich,Ipswich City Council,,None,,,,,,,,,,,,,
Lockyer Valley Region,Lockyer Valley Regional Council,,None,,,,,,,,,,,,,
Logan City,Logan City Council,,None,,,,,,,,,,,,,
City of Moreton Bay,Moreton Bay City Council,,None,,,,,,,,,,,,,
Shire of Noosa,Noosa Shire Council,Home Electrification,Energy efficiency kit & thermal camera,Current,Residents can borrow the kit from the Council library.,General,Energy efficiency kit,Free,Library membership required,Unclear (at least from November 2023),Unclear,Noosa Shire Council,N/A,N/A,(07) 5329 6555,https://www.noosa.qld.gov.au/news/article/1599/energy-efficiency-kits-to-help-residents-cut-power-costs-and-emissions
Shire of Noosa,Noosa Shire Council,Home Electrification,Portable induction cooktop,Current,Residents can borrow a portable induction cooktop from the Council library.,General,Induction cooktop,Free,Library membership required,Unclear (at least from November 2023),Unclear,Noosa Shire Council,N/A,N/A,(07) 5329 6555,https://www.noosa.qld.gov.au/news/article/1599/energy-efficiency-kits-to-help-residents-cut-power-costs-and-emissions
Redland City,Redland City Council,,None,,,,,,,,,,,,,
Scenic Rim Region,Scenic Rim Regional Council,,None,,,,,,,,,,,,,
Somerset Region,Somerset Regional Council,,None,,,,,,,,,,,,,
Sunshine Coast Region,Sunshine Coast Council,Education and Awareness Programs,Online course on home cooling,Current,The Council provides a free online course on cooling the home.,General,Online education,Free,None,Unclear,Unclear,Sunshine Coast Council; Niche Academy platform,N/A,N/A,customer.service@sunshinecoast.qld.gov.au,https://www.sunshinecoast.qld.gov.au/environment/sustainability-and-climate-change/sunshine-coast-design/freeonlinecourse
Shire of Banana,Banana Shire Council,,None,,,,,,,,,,,,,
Bundaberg Region,Bundaberg Regional Council,,None,,,,,,,,,,,,,
Aboriginal Shire of Cherbourg,Cherbourg Aboriginal Shire Council,,None,,,,,,,,,,,,,
Fraser Coast Region,Fraser Coast Regional Council,,None,,,,,,,,,,,,,
Gympie Region,Gympie Regional Council,,None,,,,,,,,,,,,,
North Burnett Region,North Burnett Regional Council,,None,,,,,,,,,,,,,
South Burnett Region,South Burnett Regional Council,,None,,,,,,,,,,,,,
Goondiwindi Region,Goondiwindi Regional Council,,None,,,,,,,,,,,,,
Southern Downs Region,Southern Downs Regional Council,,None,,,,,,,,,,,,,
Toowoomba Region,Toowoomba Regional Council,,None,,,,,,,,,,,,,
Western Downs Region,Western Downs Regional Council,,None,,,,,,,,,,,,,
Central Highlands Region,Central Highlands Regional Council,,None,,,,,,,,,,,,,
Gladstone Region,Gladstone Regional Council,,None,,,,,,,,,,,,,
Isaac Region,Isaac Regional Council,,None,,,,,,,,,,,,,
Shire of Livingstone,Livingstone Shire Council,,None,,,,,,,,,,,,,
