Tas - LGA Schemes,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Local Government Area - Details       ,,Policies,,,,,,,,,,,,,,
LGA,Council,Policy Type,Policy Name,Status (Current/Historical),Description,Target Group,Incentive Type,"Incentive Amount 
(if applicable)",Eligibility Criteria,Implementation Date,"End Date 
(if applicable)",Administering Body,Key Outcomes/ Impact (if available),Notes/Additional Information,Contact information,Citation
King Island,King Island Council,,None,,,,,,,,,,,,,
Flinders,Flinders Council,,None,,,,,,,,,,,,,
Circular Head,Circular Head Council,,None,,,,,,,,,,,,,
Waratah-Wynyard,Waratah-Wynyard Council,,None,,,,,,,,,,,,,
Burnie,Burnie City Council,,None,,,,,,,,,,,,,
West Coast,West Coast Council,,None,,,,,,,,,,,,,
Central Coast,Central Coast Council,Energy Audits and Ratings,Home Energy Audit Toolkit,Current,Residents can borrow the toolkit free of charge.,Houses; apartments,Energy audit kit,N/A,Residents in Central Coast Council,Unclear,Unclear,Central Coast Council,N/A,N/A,admin@centralcoast.tas.gov.au,https://www.centralcoast.tas.gov.au/home-energy-audit-toolkit/
Devonport,Devonport Council,,None,,,,,,,,,,,,,
Kentish,Kentish Council,,None,,,,,,,,,,,,,
Latrobe,Latrobe Council,,None,,,,,,,,,,,,,
Meander Valley,Meander Valley Council,,None,,,,,,,,,,,,,
West Tamar,West Tamar Council,,None,,,,,,,,,,,,,
George Town,George Town Council,,None,,,,,,,,,,,,,
Launceston,Launceston Council,Energy Audits and Ratings,Home Energy Audit Toolkit,Current,Residents can borrow the toolkit free of charge.,Houses; apartments,Energy audit kit,N/A,Residents in Launceston Council,Unclear,Unclear,Launceston Council,N/A,N/A,contactus@launceston.tas.gov.au ,https://www.launceston.tas.gov.au/Natural-Environment-and-Waste/Sustainability/Home-Energy-Audit-Toolkits
Dorset,Dorset Council,,None,,,,,,,,,,,,,
Break O'Day,Break O'Day Council,,None,,,,,,,,,,,,,
Northern Midlands,Northern Midlands Council,,None,,,,,,,,,,,,,
Central Highlands,Central Highlands Council,,None,,,,,,,,,,,,,
Derwent Valley,Derwent Valley Council,,None,,,,,,,,,,,,,
Southern Midlands,Southern Midlands Council,,None,,,,,,,,,,,,,
Brighton,Brighton Council,Energy Audits and Ratings,Home Energy Audit Toolkit,Current,Residents can borrow the toolkit free of charge.,Houses; apartments,Energy audit kit,N/A,Residents in Brighton Council,Unclear,Unclear,Brighton Council,N/A,N/A,admin@brighton.tas.gov.au,https://citiespowerpartnership.org.au/partners/brighton/
Glenorchy,Glenorchy City Council,,None,,,,,,,,,,,,,
Huon Valley,Huon Valley Council,Energy Audits and Ratings,Home Energy Audit Toolkit,Historical,Residents could previously borrow the toolkit.,Houses; apartments,Energy audit kit,N/A,Residents in Huon Valley Council,Unclear,Unclear,Huon Valley Council,N/A,"A committee of the Southern Tasmanian Councils Authority, the Regional Climate Change Initiative was established in 2010. The Regional Climate Change Initiative aims to provide leadership, and facilitate collaboration on and coordination of climate change activities across the Southern region.

The Home Energy Audit Toolkit (HEAT) was one of its previous projects.",hvc@huonvalley.tas.gov.au,https://www.huonvalley.tas.gov.au/community/climate-change/mitigating-our-emissions/#at-8490
Huon Valley,Huon Valley Council,Smart Home Energy Management,Bulk purchase programs of household energy efficiency products,Historical,Communities could bulk purchase solar panels or solar hot water for a group discount.,Houses; apartments,Discount,Unclear,Unclear,Unclear,Unclear,Huon Valley Council,N/A,This initiative was one of the previous projects - see above.,hvc@huonvalley.tas.gov.au,https://www.huonvalley.tas.gov.au/community/climate-change/mitigating-our-emissions/#at-8490
Kingborough,Kingborough Council,Energy Audits and Ratings,Home Energy Audit Toolkit,Current,Residents can borrow the toolkit free of charge.,Houses; apartments,Energy audit kit,N/A,Residents in Kingborough Council,Unclear,Unclear,Kingborough Council,N/A,N/A,kc@kingborough.tas.gov.au,https://www.kingborough.tas.gov.au/services/climate-change/energy/
Kingborough,Kingborough Council,Smart Home Energy Management,Home Energy Bulk Buy,Historical,"Kingborough Council and other councils partnered with Sustainable Living Tasmania’s ecohomeguide.com.au to create the Home Energy Bulk Buy for energy-efficient heat pumps, hot water services, insulation, LED lighting, solar panels and other products.

",Houses (and apartments?),Discount,Unclear,Unclear,October 2017,Unclear,Kingborough Council & others,N/A,"The Home Energy Bulk Buy was available at the same time as the Tasmanian Government’s Energy Efficiency Loan Scheme that had three-year interest-free loans of up to $10,000 for individuals to install energy-efficient and renewable-energy equipment. ",kc@kingborough.tas.gov.au,https://www.kingborough.tas.gov.au/event/home-energy-bulk-buy/
Hobart,Hobart City Council,Energy Audits and Ratings,Home Energy Audit Toolkit,Current,Residents can borrow the toolkit free of charge.,Houses; apartments,Energy audit kit,N/A,Residents in Hobart City Council,Unclear,Unclear,Hobart City Council (City of Hobart),N/A,"The Home Energy Audit Toolkit (HEAT) was developed by the City of Hobart in collaboration with the Southern Tasmanian Councils Authority’s Regional Climate Change Initiative.

",coh@hobartcity.com.au,https://www.hobartcity.com.au/City-services/Sustainable-Hobart/Sustainable-homes/Energy-efficiency/Home-Energy-Audit-Toolkit-HEAT
Hobart,Hobart City Council,Smart Home Energy Management,Home Energy Bulk Buy,Historical,"Hobart City Council and other councils partnered with Sustainable Living Tasmania’s ecohomeguide.com.au to create the Home Energy Bulk Buy for energy-efficient heat pumps, hot water services, insulation, LED lighting, solar panels and other products.

",Houses (and apartments?),Discount,Unclear,Unclear,October 2017,Unclear,Hobart City Council (City of Hobart) & others,N/A,N/A,coh@hobartcity.com.au,https://www.hobartcity.com.au/Council/News-publications-and-announcements/Media-centre/Save-money-on-energy-efficient-products
Clarence,Clarence City Council,Smart Home Energy Management,Home Energy Bulk Buy (for heat pumps only),Historical,The Council partnered with Sustainable Living Tasmania's ecohomeguide.com.au to run a new heat pump bulk-buy program running throughout October 2017.,Houses (and apartments?),Discount,Unclear,Unclear,October 2017,October 2017,Clarence City Council & others,N/A,N/A,clarence@ccc.tas.gov.au,https://www.ccc.tas.gov.au/heat-pump-program-switched-on/
Sorell,Sorell Council,,None,,,,,,,,,,,,,
Tasman,Tasman Council,Energy Audits and Ratings,Home Energy Audit Toolkit,Current,Residents can borrow the toolkit free of charge.,Houses; apartments,Energy audit kit,N/A,Residents in Tasman Council,2012,Unclear,Tasman Council,N/A,The Home Energy Audit Toolkits (HEAT) have been developed through the Southern Tasmania Council’s Authority’s Regional Climate Change Initiative (RCCI) by the Hobart City Council,tasman@tasman.tas.gov.au,https://tasman.tas.gov.au/environment-health/community-energy-efficiency-program/
Glamorgan-Spring Bay,Glamorgan-Spring Bay Council,Energy Audits and Ratings,Home Energy Audit Toolkit,Current,Residents can borrow the toolkit free of charge.,Houses; apartments,Energy audit kit,N/A,Residents in Glamorgan-Spring Bay Council,Unclear,Unclear,Glamorgan-Spring Bay Council,N/A,N/A,admin@freycinet.tas.gov.au,https://gsbc.tas.gov.au/services-facilities/natural-resource-management/
