Vic - LGA Schemes,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Local Government Area - Details               ,,Policies,,,,,,,,,,,,,,
LGA,Council,Policy Type,Policy Name,Status (Current/Historical),Description,Target Group,Incentive Type,"Incentive Amount 
(if applicable)",Eligibility Criteria,Implementation Date,"End Date 
(if applicable)",Administering Body,Key Outcomes/ Impact (if available),Notes/Additional Information,Contact information,Citation
"Mornington Peninsula
",Mornington Peninsula Shire Council,Education and Awareness Programs,Energy Hero Consultation,Current,Residents can apply to receive a free energy consultation with a volunteer 'Energy Hero' (volunteer community members).,Houses; apartments,Advice,N/A,"(By application)

Unclear",Unclear,Unclear,Mornington Peninsula Shire Council,N/A,"The 'Energy Hero' can cover a range of energy saving initiatives within the home, such as insulation and draught-proofing, energy efficient heating & cooling, efficient hot water, solar and batteries. However, they will not give specific technical advice or make recommendations for businesses.","customerservice@mornpen.vic.gov.au

1300 850 600

","https://www.mornpen.vic.gov.au/Environment/Climate-Change/What-can-you-do-about-climate-change/Save-Energy#:~:text=Homeowners%20and%20businesses%20are%20eligible,heating%20systems%20and%20much%20more."
Mornington Peninsula,Mornington Peninsula Shire Council,Energy Audits and Ratings,Home Energy Kits,Current,Residents can borrow Home Energy Kits from the library.,Houses; apartments,Energy kit borrowing,N/A,N/A,Unclear,Unclear,Mornington Peninsula Shire Council,N/A,N/A,"customerservice@mornpen.vic.gov.au

1300 850 600

","https://www.mornpen.vic.gov.au/Environment/Climate-Change/What-can-you-do-about-climate-change/Save-Energy#:~:text=Homeowners%20and%20businesses%20are%20eligible,heating%20systems%20and%20much%20more."
Mornington Peninsula,Mornington Peninsula Shire Council,Education and Awareness Programs,Community bulk buy program,Current,"Residents can have free access to:
- Energy advice available over-the-phone, email and through the Australian Energy Foundation website. Energy advisors provide personalised advice about the products most suitable for your needs within your budget.
- Obligation-free quotes from trusted and vetted suppliers, for hot water heat pumps, reverse cycle air-conditioners, solar panels and solar batteries.
- Assistance with applying for available rebates.",Houses; apartments,Advice; quotes; application assistance,N/A,N/A,Unclear,Unclear,Mornington Peninsula Shire Council; Australian Energy Foundation,N/A,N/A,"customerservice@mornpen.vic.gov.au

1300 850 600
1300 236 855 (Energy Advice Service Line
",https://www.mornpen.vic.gov.au/About-Us/News-Media-Publications/News-Media/Solar-and-Energy-Bulk-Buy-Learn-about-solar-and-batteries
Casey,Casey City Council,Energy Audits and Ratings,Energy and Water Efficiency Home Audit Kit,Current,Kits available for borrowing from library.,Houses; apartments,N/A,Free,N/A,Unclear,Unclear,Casey City Council,N/A,N/A,03 9705 5200,"https://www.casey.vic.gov.au/home-energy-rebates

https://www.casey.vic.gov.au/reduce-energy-use#:~:text=Borrow%20an%C2%A0,might%20be%20present."
Casey,Casey City Council,Financial Incentives,Draught proofing rebate,Current,"After using the Energy and Water Efficiency Home Audit Kit and identifying air leaks in the home, residents can apply for a rebate of up to $200 to draught proof the home.  ",Houses,Rebate,Maximum $200,"- Only available for properties located in the City of Casey (proof of residence required). 
- Only one application per household will be accepted for an indefinite period. 
- Applications can be submitted for up to a maximum of $200 AUD. If the full $200 is not claimed, additional applications cannot be made.   
- Full proof of purchase is required detailing the applicant's first and last name, company name (if applicable), purchase date and the name and cost of each item purchased. Partial copies will not be accepted. 
- Applicants must have borrowed and used a City of Casey Energy and Water Efficiency Home Audit Kit (proof of use required).  
- Receipts for draught-proofing items must be dated from the past six (6) months from date of submission. 
- Products must be installed by the resident or an un-paid helper. The rebate cannot be used to pay a trades person or require a technical trade to install including plumber, electrician, builder, insulation installer or glazier.   
- Applications are to be submitted online via https://rebately.co/ only. ",Unclear,Unclear,Casey City Council,N/A,"Rebates can be submitted for the following types of products: 
- door and window draught stoppers 
- chimney draught stoppers 
- hot water system insulators and lagging (including the purchase of one roll of electrical tape) 
- block out roller blinds 
- pelmets 
- honeycomb blinds 
- thermal blinds 
- window insulation 
- reflective window film 
- garage door weather seals 
- gap fillers 
- sealants. ",03 9705 5200,"https://www.casey.vic.gov.au/home-energy-rebates

https://rebately.co/casey/rebates/home-energy-efficiency/"
Casey,Casey City Council,Education and Awareness Programs,Open Data Platform,Current,An emissions dashboard for residents to compare their emissions and energy usage compared to other residents within the LGA.,None,N/A,None,None,N/A,N/A,Casey City Council,N/A,N/A,03 9705 5200,https://data.casey.vic.gov.au/pages/casey-emissions-and-energy-usage/
Frankston,Frankston City Council,Energy Audits and Ratings,Home Energy Saver Toolkit,Current,Kits available for hire from library.,Houses; apartments,N/A,Free,N/A,Unclear,Unclear,Frankston City Council; Frankston City Libraries,N/A,N/A,"03 9784 1020 (library)

libraryenquiries@frankston.vic.gov.au",https://library.frankston.vic.gov.au/Library-Services/Home-Energy-Saver-Toolkit
Frankston,Frankston City Council,Education and Awareness Programs,Borrow 'Your Home' book,Current,"Residents can borrow a copy of the book, ‘Your Home,’ a comprehensive guide to environmentally sustainable homes.  ",Houses; apartments,N/A,Free,None,Unclear,Unclear,Frankston City Council; Frankston City Libraries,N/A,N/A,"03 9784 1020 (library)

libraryenquiries@frankston.vic.gov.au",https://library.frankston.vic.gov.au/Library-Services/Home-Energy-Saver-Toolkit
Cardinia,Cardinia Shire Council,Energy Audits and Ratings,Home Energy & Water Efficiency Kits,Current,"Kits available for hire from library.

The kits include:  
- energy meters to monitor electricity consumption 
- thermal imaging cameras to identify areas of heat loss 
- flow-measuring cups to calculate water use 
- useful information and tips on home energy-saving practices. ",Houses; apartments,N/A,Free,N/A,Unclear,Unclear,Cardinia Shire Council; Cardinia Shire Libraries,N/A,"This program is delivered by Myli libraries in partnership with Cardinia Shire, Bass Coast Shire, Baw Baw Shire and South Gippsland Shire councils. ","1300 787 624

mail@cardinia.vic.gov.au","https://www.cardinia.vic.gov.au/news/article/1130/home_energy_and_water_efficiency_kits_available_to_the_community

http://www.myli.au/libraryofthings"
Cardinia,Cardinia Shire Council,Education and Awareness Programs,Home Energy Improvement Handbook,Current,The handbook makes recommendations regarding ways in which residents can increase their home's energy efficiency through making physical and structural changes to their homes.,Houses; apartments,N/A,Free,N/A,N/A,N/A,Cardinia Shire Council,N/A,N/A,"1300 787 624

mail@cardinia.vic.gov.au",https://www.cardinia.vic.gov.au/download/downloads/id/3108/home_energy_improvement_handbook.pdf
