WA - LGA Schemes,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Local Government Area - Details,,Policies,,,,,,,,,,,,,,
LGA,Council,Policy Type,Policy Name,Status (Current/Historical),Description,Target Group,Incentive Type,"Incentive Amount 
(if applicable)",Eligibility Criteria,Implementation Date,"End Date 
(if applicable)",Administering Body,Key Outcomes/ Impact (if available),Notes/Additional Information,Contact information,Citation
City of Albany,City of Albany,Energy Audits and Ratings,Home Energy Audit Kit,Current,"The kit contains an instruction guide, survey, worksheet, Power-mate unit and user manual, Energy Smart thermometer, digital sport timer and Energy Smart 'Orient your home' pamphlet.

The kit can be reserved through the Albany Public Library website.",Houses; apartments,Energy audit toolkit,N/A,Unclear,Unclear,Unclear,City of Albany Council,N/A,N/A,staff@albany.wa.gov.au,"https://www.albany.wa.gov.au/services/sustainability-and-waste/action-on-climate-change/energy-efficiency-and-renewable-energy.aspx#:~:text=The%20City%20of%20Albany%20Corporate,City%20owned%20and%20operated%20buildings"
City of Armadale,City of Armadale,Education and Awareness Programs,Switch Your Thinking (SYT),Current,"The program implements measures that seek to save energy, water and waste, and reduce greenhouse gas emissions.

SYT delivers programs that can assist people to make small, but meaningful changes and throughout the year will deliver a series of sustainable educational workshops for Armadale residents.",Houses; apartments,Educational workshops,N/A,N/A,Unclear,Unclear,"Collaborative initiative of the Cities of Armadale, Gosnells and Serpentine Jarrahdale Shire",N/A,N/A,info@armadale.wa.gov.au,https://www.armadale.wa.gov.au/media-releases/learn-how-make-your-home-environmental-friendly
Shire of Ashburton,Shire of Ashburton,,None,,,,,,,,,,,,soa@ashburton.wa.gov.au,
Shire of Augusta Margaret River,Shire of Augusta Margaret River,,None,,,,,,,,,,,,amrshire@amrshire.wa.gov.au,
Town of Bassendean,Town of Bassendean,,None,,,,,,,,,,,,mail@bassendean.wa.gov.au,
City of Bayswater,City of Bayswater,,None,,,,,,,,,,,,mail@bayswater.wa.gov.au,
City of Belmont,City of Belmont,,None,,,,,,,,,,,,belmont@belmont.wa.gov.au,
Shire of Beverley,Shire of Beverley,,None,,,,,,,,,,,,admin@beverley.wa.gov.au,
Shire of Boddington,Shire of Boddington,,None,,,,,,,,,,,,shire@boddington.wa.gov.au,
Shire of Boyup Brook,Shire of Boyup Brook,,None,,,,,,,,,,,,shire@boyupbrook.wa.gov.au,
Shire of Bridgetown-Greenbushes,Shire of Bridgetown-Greenbushes,,None,,,,,,,,,,,,btnshire@bridgetown.wa.gov.au,
Shire of Brookton,Shire of Brookton,,None,,,,,,,,,,,,mail@brookton.wa.gov.au,
Shire of Broome,Shire of Broome,,None,,,,,,,,,,,,shire@broome.wa.gov.au,
Shire of Broomehill-Tambellup,Shire of Broomehill-Tambellup,,None,,,,,,,,,,,,mail@shirebt.wa.gov.au,
Shire of Bruce Rock,Shire of Bruce Rock,,None,,,,,,,,,,,,admin@brucerock.wa.gov.au,
City of Bunbury,City of Bunbury,,None,,,,,,,,,,,,records@bunbury.wa.gov.au,
City of Busselton,City of Busselton,,None,,,,,,,,,,,,city@busselton.wa.gov.au,
Town of Cambridge,Town of Cambridge,Education and Awareness Programs,Educational workshop,Historical,The workshop explained how to build an energy efficient home.,Houses; apartments,Educational workshop,N/A,N/A,18 June 2024,18 June 2024,Town of Cambridge,N/A,N/A,mail@cambridge.wa.gov.au,https://www.cambridge.wa.gov.au/Discover/Whats-On/Building-an-Energy-Efficient-Home
Town of Cambridge,Town of Cambridge,Education and Awareness Programs,Switch Your Thinking (SYT),Current,The Council is a partner in the SYT program. Residents in the LGA have access to rewards under the SYT program.,Houses; apartments,Educational workshops,N/A,N/A,Unclear,Unclear,Town of Cambridge,N/A,Rewards for residents: https://switchyourthinking.com/incentives-awards/rewards-for-residents/,mail@cambridge.wa.gov.au,"https://www.cambridge.wa.gov.au/Residents/Living-Sustainably/Sustainability-Initiatives

https://switchyourthinking.com/incentives-awards/rewards-for-residents/"
